idelem;tipo_elem;identif;nombre;st_x;st_y
5357;PUNTOS DE MEDIDA URBANOS;88001;C/. Peñaranda de Bracamonte -  La Adrada-Av. Ensanche de Vallecas;448.404.371.570.667;446.914.609.680.391
4767;PUNTOS DE MEDIDA URBANOS;24037;GIRO CEBREROS E-N(PALMIPEDOS-CARLINA);436.471.213.270.272;447.309.294.410.057
4835;PUNTOS DE MEDIDA URBANOS;26028;VILLAFUERTE N-S(VILLAJOYOS-CRA.VILLAVER);441.563.147.446.726;446.757.769.772.043
5052;PUNTOS DE MEDIDA URBANOS;49020;GRAL. RICARDOS O-E(NTRA.SRA.LUZ-BLASON);437.160.935.432.375;447.075.138.731.427
5105;PUNTOS DE MEDIDA URBANOS;51006;OCA S-N (GRAL.RICARDOS-PL.ALMODOVAR);437.862.133.467.478;447.142.884.934.257
3481;PUNTOS DE MEDIDA URBANOS;51024;CASTROJERIZ N-S(AV.PZA TOROS-M.GRANDES);437.279.685.268.897;44.710.906.883.454
4025;PUNTOS DE MEDIDA URBANOS;9009;Alcala O-E - Almeria-Puente Ventas;443.880.466.185.815;447.599.811.437.249
4077;PUNTOS DE MEDIDA URBANOS;10033; Maiquez S-N - Ibiza-OÂ´Donnell;443.028.623.002.516;447.492.511.987.663
4215;PUNTOS DE MEDIDA URBANOS;14019;Pº Acacias O-E - Peñuelas-Gta. Embajadores;440.313.208.790.271;447.308.972.143.093
5684;PUNTOS DE MEDIDA URBANOS;62074;Bravo Murillo S-N - Conde Vallellano-Marqués de Viana;440.934.826.800.564;447.943.993.832.175
4103;PUNTOS DE MEDIDA URBANOS;11032;Embajadores N-S - Bronce-Planetario;441.486.691.056.532;447.118.446.145.173
4373;PUNTOS DE MEDIDA URBANOS;17042;Princesa S-N - Seneca-Pº Moret;438.948.925.121.229;447.661.480.809.767
4404;PUNTOS DE MEDIDA URBANOS;19002;Bravo Murillo, 11 N-S - Fernández de los Rios-Gta.Quevedo;440.370.872.740.065;447.646.358.518.974
4412;PUNTOS DE MEDIDA URBANOS;19010;Francisco de Rojas, 5 N-S - Luchana-Sagasta;440.762.783.871.825;447.583.873.495.949
10023;PUNTOS DE MEDIDA URBANOS;20007; Melendez Valdés O-E - Galileo-Vallehermoso;439.970.364.234.836;447.625.187.555.183
4427;PUNTOS DE MEDIDA URBANOS;21002;Gral. Martinez Campos E-O - Fdez.de la Hoz-Modesto Lafuente;441.161.390.626.892;447.648.774.975.386
5474;PUNTOS DE MEDIDA URBANOS;60028;Alberto Alcocer E-O - PºCastellana-Doctor Fleming;441.680.917.881.401;447.913.362.120.177
5658;PUNTOS DE MEDIDA URBANOS;62042;Sor Angela de la Cruz O-E - Infanta Mercedes-Orense;441.125.483.421.666;44.792.196.416.966
7027;PUNTOS DE MEDIDA URBANOS;40032;Av. Pablo Neruda - Candilejas-Romeo y Julieta;443.862.463.981.982;447.051.896.062.023
5836;PUNTOS DE MEDIDA URBANOS;41026;C/. Pio Felipe - Pio Felipe-Av. Albufera;444.585.203.835.758;447.170.580.309.316
6159;PUNTOS DE MEDIDA URBANOS;53029;Av. Trece Rosas  - Av. Trece Rosas-Pl. Agustín González;445.231.322.211.688;447.550.346.175.286
6929;PUNTOS DE MEDIDA URBANOS;57021;Playa de Riazor - Arroyomolino - Av. Logroño;450.655.016.098.562;448.092.725.569.435
6487;PUNTOS DE MEDIDA URBANOS;68005;Ronda del Sur - Cooperativa Eléctrica-Av. Entrevías;444.029.024.473.515;446.988.430.166.724
4768;PUNTOS DE MEDIDA URBANOS;24038;CEBREROS E-O(PALMIPEDOS-CARLINA);436.477.165.270.563;447.309.150.525.685
5058;PUNTOS DE MEDIDA URBANOS;49027;BLASA PEREZ N-S(TOBOSO-GRAL.RICARDOS);438.396.525.874.108;447.175.288.242.511
